Month,Day,Year,Birthday,Name,Description
1,6,1883,1/6/1883,Khalil Gibran, Lebanese mystic poet (The Prophet and Broken Wings)
1,6,1911,1/6/1911,Joey Adams, comedian
1,6,1913,1/6/1913,Loretta Young, (Farmer's Daughter and Stranger) in Salt Lake City
1,6,1914,1/6/1914,Danny Thomas, comedian and Actor
1,6,1915,1/6/1915,Don Edwards (D), US representative from California
1,6,1920,1/6/1920,Sun Myung Moon, evangelist (Unification Church)
1,6,1924,1/6/1924,Earl Scruggs, bluegrass musician
1,6,1934,1/6/1934,Sylvia Sims,
1,6,1945,1/6/1945,Bonnie Franklin, TV Actress (One Day at a Time) in Santa Monica
1,6,1957,1/6/1957,Nancy Lopez, Golf pro
1,7,1800,1/7/1800,Millard Fillmore, (Whig) 13th US pres (1850-53)
1,7,1845,1/7/1845,Louis III, last king of Bavaria (1913-18)
1,7,1911,1/7/1911,Butterfly McQueen, Actress (Gone with the Wind)
1,7,1925,1/7/1925,Gerald Durrell, British zoologist and writer and broadcaster
1,7,1935,1/7/1935,Valeri N. Kubasov, Soviet cosmonaut (Soyuz 6 and 36 and Apollo-Soyuz)
1,7,1942,1/7/1942,Vasili Alexeyev, world champion weight-lifter
1,7,1948,1/7/1948,Kenny Loggins, singer
1,8,1587,1/8/1587,Johannes Fabricius, Dutch astronomer who discovered sunspots
1,8,1786,1/8/1786,Nicholas Biddle, made 2nd Bank of US 1st effective central bank
1,8,1823,1/8/1823,Alfred Russel Wallace, codiscoverer of evolution
1,8,1862,1/8/1862,Frank Nelson Doubleday, publisher & founder of Doubleday & Co
1,8,1864,1/8/1864,William Wilkie Collins, English novelist (The Moonstone)
1,8,1867,1/8/1867,Emily Balch, US sociologist and feminist and pacifist (Nobel 1946)
1,8,1868,1/8/1868,Sir Frank Dyson, proved Einstein right about light bent by gravity
1,8,1891,1/8/1891,Walther Bothe, German subatomic particle physicist (Nobel 1954)
1,8,1902,1/8/1902,Carl R. Rogers, psychologist
1,8,1904,1/8/1904,Peter Arno, Cartoonist
1,8,1912,1/8/1912,Jose Ferrer, Actor and director (Cyrano de Bergerac)
1,8,1923,1/8/1923,Joseph Wiezenbaum, artificial intelligence pioneer
1,8,1926,1/8/1926,Milton Hines, AKA Soupy Sales
1,8,1934,1/8/1934,Jacques Anquetil, 5-time winner of Tour de France bicycle race
1,8,1935,1/8/1935,Elvis Presley, singer (Blue Suede Shoes and Hounddog)
1,8,1937,1/8/1937,Shirley Bassey, in Wales
1,8,1942,1/8/1942,Vyacheslav D. Zudov, Soviet cosmonaut (Soyuz 23)
1,8,1942,1/8/1942,Yvette Mimieux, in Hollywood Cal (Time Machine and Where the Boys Are)
1,8,1942,1/8/1942,Stephen Hawking,
1,8,1946,1/8/1946,Tod Brannan,
1,8,1947,1/8/1947,David Bowie, singer and Actor
1,9,1728,1/9/1728,Thomas Warton, poet laureate of England (Pleasures of Melancholy)
1,9,1859,1/9/1859,Carrie Lane Chapman Catt, founder of League of Women Voters
1,9,1870,1/9/1870,Joseph B Strauss, civil engineer & builder of Golden Gate Bridge
1,9,1898,1/9/1898,Gracie Fields,
1,9,1901,1/9/1901,Chic Young," creator of ""Blondie"" comic strip"
1,9,1902,1/9/1902,Rudolph Bing, opera manager
1,9,1904,1/9/1904,George Balanchine, dancer-choreographer
1,9,1908,1/9/1908,Simone de Beauvoir, French author (The Mandarins and The Second Sex)
1,9,1913,1/9/1913,Richard Milhous Nixon, (R) and 36th pres (1968-74) (I am not a crook!)
1,9,1914,1/9/1914,Gypsy Rose Lee, burlesque entertainer and Actress
1,9,1925,1/9/1925,Lee Van Cleef, Actor (For a Few Dollars More and Escape from NY)
1,9,1934,1/9/1934,Bart Starr, NFL quarterback and coach (Green Bay)
1,9,1941,1/9/1941,Joan Baez, folk singer and human rights advocate in Staten Island
1,9,1941,1/9/1941,Susannah York, Actress (A Man for All Seasons and Tom Jones) in London
1,9,1951,1/9/1951,Crystal Gale, in Kentucky
1,9,1951,1/9/1951,Rosalyn Kind, singer in Bkln
1,10,1738,1/10/1738,Ethan Allen, Revolutionary War fighter (lead the Green Mtn Boys)
1,10,1877,1/10/1877,Frederick Gardner Cottrell, invented elecrostatic precipitator
1,10,1880,1/10/1880,Manuel Azasa y Diaz, P.M. and president of 2nd Spanish republic
1,10,1883,1/10/1883,Florence Reed, silent film Actress (The Dancing Girl)
1,10,1883,1/10/1883,Francis X. Bushman, silent film Actor (The Spy's Defeat)
1,10,1887,1/10/1887,Robinson Jeffers, American poet and playwright (Tamar & Other Poems)
1,10,1888,1/10/1888,Grock, Swiss clown
1,10,1904,1/10/1904,Ray Bolger, dancer and Actor (Once in Love with Amy and Wizard of Oz)
1,10,1910,1/10/1910,Galina Ulanova, Russian ballerina
1,10,1926,1/10/1926,June Haver,
1,10,1927,1/10/1927,Gisele MacKenzie, in Winnipeg Manitoba
1,10,1927,1/10/1927,Johnnie Ray, pop singer
1,10,1938,1/10/1938,Willie McCovey, baseball player
1,10,1945,1/10/1945,Rod Stewart, singer
1,10,1949,1/10/1949,George Foreman, world heavyweight boxing champ (1973-74)
1,10,1953,1/10/1953,Pat Benatar, in Brooklyn--Hell is for Children
1,11,1755,1/11/1755,Alexander Hamilton, 1st Sec of US Treasury
1,11,1807,1/11/1807,Ezra Cornell, founded Western Union Telegraph & Cornell University
1,11,1815,1/11/1815,Sir John A. MacDonald, (C)--1st prime minister of Canada (1867-73)
1,11,1839,1/11/1839,Eugenio Maria de Hostos, Puerto Rican patriot and scholar
1,11,1842,1/11/1842,William James, American psychologist and philosopher
1,11,1850,1/11/1850,Philipp la Renotiere von Ferrary, famous philatelist
1,11,1885,1/11/1885,Alice Paul, founder of National Woman's Party and ERA advocate
1,11,1896,1/11/1896,Eva Le Gallienne, Actress
1,11,1896,1/11/1896,Paddy Driscoll, NFL quarterback and coach (Chic Cardinals and Bears)
1,11,1903,1/11/1903,Alan Paton, South African writer (Cry and the Beloved Country)
1,11,1906,1/11/1906,Albert Hofmann, Swiss chemist and discoverer of LSD
1,11,1926,1/11/1926,Grant Tinker, broadcasting executive
1,11,1926,1/11/1926,Lev S. Demin, Soviet cosmonaut (Soyuz 15)
1,11,1930,1/11/1930,Rod Taylor, Actor
1,11,1948,1/11/1948,Madeline Manning, runner
1,11,1974,1/11/1974,Rosenkowitz sextuplets, (1st known to have survived infancy)
1,12,1588,1/12/1588,John Winthrop, 1st gov of Mass Bay Colony
1,12,1729,1/12/1729,Edmund Burke, famous Whig
1,12,1737,1/12/1737,John Hancock, Decl of Ind signer (or 0123)
1,12,1856,1/12/1856,John Singer Sargent, American painter
1,12,1876,1/12/1876,Jack London, writer (Call of the Wild)
1,12,1910,1/12/1910,Luise Rainer, Actress
1,12,1913,1/12/1913,Edward Gurney, senator
1,12,1920,1/12/1920,James Farmer, black activist
1,12,1926,1/12/1926,Ray Price, country singer
1,12,1930,1/12/1930,Glenn Yarborough, singer
1,13,1808,1/13/1808,Salmon P. Chase (R), senator and cabinet member and 6th chief justice
1,13,1832,1/13/1832,Horatio Alger Jr., American clergyman and author of boys' books
1,13,1884,1/13/1884,Sophie Tucker, last red hot mamma
1,13,1913,1/13/1913,Ralph Edwards, (This is your life)
1,13,1919,1/13/1919,Jesse White, Actor (Maytag repairman)
1,13,1919,1/13/1919,Robert Stack, TV & film Actor (Elliot Ness)
1,13,1925,1/13/1925,Gwen Verdon, Actress and dancer (Cotton Club) in LA
1,13,1931,1/13/1931,Charles Nelson Reilly, comedian
1,14,1730,1/14/1730,William Whipple, Decl of Ind signer
1,14,1741,1/14/1741,Gen Benedict Arnold, fink
1,14,1791,1/14/1791,Calvin Phillips, became shortest known adult male (67 cm)
1,14,1861,1/14/1861,Mehmed VI, last sultan of Ottoman Empire (1918-22)
1,14,1875,1/14/1875,Albert Schweitzer, doctor and humanitarian and organist (Nobel 1952)
1,14,1892,1/14/1892,Hal Roach, early film director & producer
1,14,1896,1/14/1896,John dos Passos, novelist (1919 and Big Money and 42nd Parallel)
1,14,1919,1/14/1919,Andy Rooney, TV commentator (60 Minutes)
1,14,1926,1/14/1926,Thomas Tryon, Actor and novelist
1,14,1932,1/14/1932,Catarina Valenti, singer in Paris France
1,14,1940,1/14/1940,Julian Bond (D), civil rights leader and Georgia legislator
1,14,1941,1/14/1941,Faye Dunaway, Actress (Chinatown and Bonnie & Clyde) in Fla
1,15,1622,1/15/1622,Molire, French dramatist (baptized)
1,15,1809,1/15/1809,Pierre Joseph Proudhon, French libertarian socialist
1,15,1850,1/15/1850,Sofya Kovalevskaya, Russian mathematician
1,15,1866,1/15/1866,Nathan Soderblom, Lutheran archbishop and internationalist (Nobel '30)
1,15,1899,1/15/1899,Goodman Ace, radio & TV writer and Actor and columnist and humorist
1,15,1906,1/15/1906,Aristotle Onassis, industrialist
1,15,1908,1/15/1908,Edward Teller, fathered H-bomb
1,15,1913,1/15/1913,Lloyd Bridges, Actor (Sea Hunt and Roots and Airplane)
1,15,1918,1/15/1918,Gamal Abdel Nasser, Egyptian leader
1,15,1919,1/15/1919,S. Kovalevskaya,
1,15,1926,1/15/1926,Chuck Berry, singer (Johnny B. Goode)
1,15,1926,1/15/1926,Maria Schell, in Vienna Austria - Space 1999
1,15,1929,1/15/1929,Rev. Dr. Martin Luther King Jr., dreamer (Nobel Peace Prize 1964)
1,15,1929,1/15/1929,Martin Luther King Jr,
1,15,1937,1/15/1937,Margaret O'Brien, in San Diego Calif
1,15,1946,1/15/1946,Janet Lennon, in Culver City
1,15,1951,1/15/1951,Charo, in Spain
1,16,1853,1/16/1853,Andre Michelin, French industrialist and tire manufacturer
1,16,1874,1/16/1874,Robert Service, Canadian poet (Cremation of Sam McGee)
1,16,1894,1/16/1894,Guy Chamberlin, early NFL end and coach
1,16,1909,1/16/1909,Ethel Merman, everythings coming up roses
1,16,1911,1/16/1911,Dizzy Dean, baseball player (St Louis Cardinals)
1,16,1924,1/16/1924,Katy Jurado, in Mexico
1,16,1929,1/16/1929,Allard Lowenstein, Students for Democratic Action
1,16,1930,1/16/1930,Norman Podhoretz, author
1,16,1933,1/16/1933,Oleg G Makarov, cosmonaut (Soyuz 12 & 18-1 & 27 & T-3)
1,16,1934,1/16/1934,Marilyn Horne, in Pennsylvania
1,16,1935,1/16/1935,A.J. Foyt, auto race driver
1,17,1706,1/17/1706,Benjamin Franklin, Boston and kite flyer and statesman and wit
1,17,1732,1/17/1732,Stanislaw II, last king of Poland (1764-95)
1,17,1771,1/17/1771,Charles Brockden Brown, father of American novel
1,17,1818,1/17/1818,Sir Antoine Dorion (L), joint premier of Canada (1858 and 1863-64)
1,17,1857,1/17/1857,Eugene Augustin Lauste, developed 1st sound-on-film recording
1,17,1860,1/17/1860,Anton Checkov,
1,17,1863,1/17/1863,David Lloyd George (Liberal), prime minister of Britain (1916-22)
1,17,1863,1/17/1863,Konstantin Stanislavsky, Actor and director and producer and methodist
1,17,1880,1/17/1880,Mack Sennett, created Keystone Kops
1,17,1899,1/17/1899,Robert Maynard Hutchins, American educator and civil libertarian
1,17,1919,1/17/1919,A Chekhov,
1,17,1924,1/17/1924,Betty White, Actress (Mary Tyler Moore Show and Golden Girls) in Oak Pk
1,17,1926,1/17/1926,Moira Shearer, Scottish ballerina
1,17,1931,1/17/1931,James Earl Jones, Actor (Darth Vader)
1,17,1933,1/17/1933,Sheree North, in Los Angeles
1,17,1934,1/17/1934,Shari Lewis, puppeteer in Bronx NY
1,17,1944,1/17/1944,Joe Frazier, heavyweight champion boxer (1968-73)
1,17,1949,1/17/1949,Debbie Watson, in Culver City California
1,18,1779,1/18/1779,Peter Roget, of Thesaurus fame--invented Slide Rule and pocket chessboard
1,18,1782,1/18/1782,Daniel Webster, early American orator & politician
1,18,1813,1/18/1813,Joseph Farwell Glidden, invented 1st coml useable barbed wire
1,18,1849,1/18/1849,Sir Edmund Barton, 1st prime minister of Australia (1900-03)
1,18,1854,1/18/1854,Thomas A Watson, needed by Bell
1,18,1867,1/18/1867,Ruben Dario, national poet of Nicaragua
1,18,1882,1/18/1882,A.A. Milne, author of Winnie-the-Pooh
1,18,1892,1/18/1892,Oliver Hardy, of comedy team Laurel & Hardy
1,18,1904,1/18/1904,Cary Grant, Actor (Arsenic & Old Lace and North by Northwest)
1,18,1913,1/18/1913,Danny Kaye, comedian and Actor and UNICEF
1,18,1922,1/18/1922,Constance Moore, in Sioux City Iowa
1,18,1942,1/18/1942,Muhammad Ali, (aka Cassius Clay) -- boxer
1,19,1095,1/19/1095,St Wulfstan, bishop of Worcester--ended sale of slaves at Bristol
1,19,1736,1/19/1736,James Watt, made steam engine workable (or 1753)
1,19,1749,1/19/1749,Isaiah Thomas, American printer and editor and publisher and historian
1,19,1798,1/19/1798,Auguste Comte, philosopher and founder of sociology & Positivism
1,19,1807,1/19/1807,Robert E Lee, Confederate gen
1,19,1809,1/19/1809,Edgar Allen Poe, author (The Pit & the Pendulum)
1,19,1809,1/19/1809,Edgar Allan Poe,
1,19,1813,1/19/1813,Sir Henry Bessemer, engineer-inventor
1,19,1839,1/19/1839,Paul Cezanne, painter
1,19,1859,1/19/1859,Alice Eastwood,
1,19,1906,1/19/1906,Lanny Ross, singer
1,19,1917,1/19/1917,John Raitt, singer
1,19,1922,1/19/1922,Guy Madison, Actor (Computer Wizard and Jet over the Atlantic)
1,19,1923,1/19/1923,Jean Stapleton, Actress (Damn Yankees and Klute) in NYC
1,19,1926,1/19/1926,Fritz Weaver, Actor (Day of the Dolphin and Demon Seed)
1,19,1932,1/19/1932,Joe Schmidt, NFL linebacker (Detroit)
1,19,1935,1/19/1935,Tippi Hedren, in Minnesota (The Birds)
1,19,1943,1/19/1943,Janis Joplin, in Port Arthur Texas
1,19,1944,1/19/1944,Shelly Fabraes, in Santa Monica
1,19,1946,1/19/1946,Dolly Parton, country singer and bra buster in Tennessee
1,19,1947,1/19/1947,Ann Compton, TV news reporter
1,19,1951,1/19/1951,Linda Hayden,
1,19,1953,1/19/1953,Desi Arnez Jr, Actor
1,20,1760,1/20/1760,Charles III, king of Spain (1759-88)
1,20,1775,1/20/1775,Andre-Marie Ampre, founder of science of electromagnetism
1,20,1891,1/20/1891,Mischa Elman Violinist,
1,20,1896,1/20/1896,Nathan Birnbaum, (better known as George Burns)
1,20,1903,1/20/1903,Leon Ames, Actor
1,20,1920,1/20/1920,Federico Fellini, director (8« and Satyricon
1,20,1926,1/20/1926,Patricia Neal, Actress (Hud and The Subject Was Roses) in Packard Ky
1,20,1930,1/20/1930,Edwin E (Buzz) Aldrin Jr, US astronaut (Gemini 12 and Apollo 11)
1,20,1937,1/20/1937,Dorothy Provine, in Deadwood SD
1,20,1946,1/20/1946,David Lynch,
1,20,1956,1/20/1956,John Naber, swimmer
1,21,1338,1/21/1338,Charles V, (The Wise) King of France (1364-80)
1,21,1743,1/21/1743,John Fitch, had a working steamboat years before Fulton
1,21,1813,1/21/1813,John C Fremont, map maker & explorer of western US
1,21,1815,1/21/1815,Horace Wells, dentist and pioneer in use of medical anethesia
1,21,1821,1/21/1821,John Cabell Breckinridge, (D) 14th US vice-president (1857-61)
1,21,1824,1/21/1824,Thomas (Stonewall) Jackson, Confederate gen
1,21,1884,1/21/1884,Roger Nash Baldwin, founder of American Civil Liberties Union
1,21,1887,1/21/1887,Wolfgang Kohler, Gestalt psychologist (The Mentality of Apes)
1,21,1921,1/21/1921,Barney Clark, 1st person to receive a permanent artificial heart
1,21,1922,1/21/1922,Paul Scofield, author
1,21,1924,1/21/1924,Benny Hill, British comedian
1,21,1924,1/21/1924,Telly Savalas," Actor ""Who Loves Ya Baby?"""
1,21,1932,1/21/1932,Boris Shakhlin, Soviet Olympic gymnast
1,21,1940,1/21/1940,Jack Nicklaus, golfer
1,21,1941,1/21/1941,Placido Domingo, operatic tenor
1,21,1955,1/21/1955,Robby Bensen, Actor (One on One and Running Brave)
1,22,1440,1/22/1440,Ivan III (The Great), grand prince of Russia
1,22,1561,1/22/1561,Francis Bacon, English statesman and essayist (Novum Organum)
1,22,1729,1/22/1729,Gotthold Ephraim Lessing, German critic and dramatist
1,22,1788,1/22/1788,George Gordon, Lord Byron and English Romantic poet
1,22,1788,1/22/1788,Lord George Gordon Noel Byron,
1,22,1802,1/22/1802,Richard Upjohn, American Gothic architect (Trinity Chapel NY)
1,22,1844,1/22/1844,August Strindberg,
1,22,1849,1/22/1849,August Strindberg, Swedish dramatist and novelist
1,22,1875,1/22/1875,D.W. Griffith, movie producer (Birth of a Nation)
1,22,1909,1/22/1909,U Thant, 3rd secretary-general of UN (1962-72) Burma
1,22,1912,1/22/1912,Ann Sothern, voice of my mother the car
1,22,1920,1/22/1920,William Warfield, singer (Show Boat)
1,22,1928,1/22/1928,Birch Bayh, (D) former US senator from Indiana
1,22,1932,1/22/1932,Piper Laurie, in Detroit Michigan
1,22,1934,1/22/1934,Bill Bixby, Actor (Incredible Hulk and My Favorite Martian)
1,22,1935,1/22/1935,Sam Cooke,
1,22,1937,1/22/1937,Joseph Wambaugh, police writer (The Onionfields)
1,22,1959,1/22/1959,Linda Blair, Actress (The Exorcist) in St Louis Mo
1,23,1730,1/23/1730,Joseph Hewes, Decl of Ind signer
1,23,1756,1/23/1756,Wolfgang A Mozart, musical prodigy
1,23,1783,1/23/1783,Marie-Henri Beyle, aka Stendhal and French novelist
1,23,1832,1/23/1832,Edouard Manet, French Impressionist painter
1,23,1857,1/23/1857,Andrija Mohorovicic, Croatian geologist (Moho discontinuity)
1,23,1862,1/23/1862,David Hilbert, mathematician
1,23,1898,1/23/1898,Sergei Eisenstein, Russian film maker (Battleship Potemkin)
1,23,1899,1/23/1899,Humphrey Bogart, Actor
1,23,1903,1/23/1903,Randolph Scott, Actor
1,23,1915,1/23/1915,Potter Stewart, US Supreme Court justice
1,23,1919,1/23/1919,Eisenstein,
1,23,1930,1/23/1930,William R Pogue, US astronaut (Skylab 4)
1,23,1933,1/23/1933,Arlene Golonka,
1,23,1933,1/23/1933,Chita Rivera, Actress (West Side Story) in Washington DC
1,23,1936,1/23/1936,Jerry Kramer, Green Bay Packer and author
1,23,1943,1/23/1943,Gil Gerard,
1,23,1958,1/23/1958,Princess Caroline of Monaco,
1,24,1712,1/24/1712,Frederick I (The Great), King of Prussia (1740-86)
1,24,1746,1/24/1746,Gustav III, king during Swedish Enlightenment (1771-92)
1,24,1862,1/24/1862,Edith Wharton, Novelist US
1,24,1880,1/24/1880,Elisabeth Achelis, inventor of World Calendar
1,24,1888,1/24/1888,Ernst Heinrich Heinkel, built 1st rocket-powered aircraft
1,24,1917,1/24/1917,Ernest Borgnine, Actor (Ice Station Zebra and Young Warriors)
1,24,1918,1/24/1918,Oral Roberts, Evangelist
1,24,1922,1/24/1922,Ava Gardner,
1,24,1925,1/24/1925,Maria Tallchief, ballerina in Fairfax Ok
1,24,1927,1/24/1927,Paula Hawkins, (R-sen-Fla)
1,24,1941,1/24/1941,Neil Diamond, Jazz-Singer
1,24,1946,1/24/1946,Barry Bostwick, Actor
1,24,1947,1/24/1947,Giorgio Chinaglia, soccer star (Lazio of Italy and NY Cosmos)
1,24,1949,1/24/1949,John Belushi, commedian and Actor (Sat Night Live and Blues Brothers)
1,24,1960,1/24/1960,Nastassia Kinski, in Berlin Germany
1,25,749,1/25/749,Leo IV (the Khazar), Byzantine emperor (775-80)
1,25,1627,1/25/1627,Robert Boyle, Irish physicist and chemist and author
1,25,1736,1/25/1736,Joseph-Louis, comte de Lagrange and mathematician
1,25,1759,1/25/1759,Robert Burns, Scottish poet
1,25,1860,1/25/1860,Charles Curtis, (R) 31st US vice-president (1929-33)
1,25,1874,1/25/1874,Somerset Maugham, novelist and poet (Of Human Bondage and Cakes & Ale)
1,25,1882,1/25/1882,Virginia Woolf, author (Jacob's Room and To the Lighthouse)
1,25,1899,1/25/1899,Paul-Henri Spaak, Belgian statesman and leader in European integration
1,25,1919,1/25/1919,Edwin Newman, newscaster
1,25,1924,1/25/1924,Lou (the Toe) Groza, AAFC and NFL tackle and kicker (Cleveland Browns)
1,25,1933,1/25/1933,Corazon Aquino," president of Philippines (1986-, )"
1,25,1934,1/25/1934,Elizabeth Allen, in New Jersey
1,25,1935,1/25/1935,Dean Jones, Actor (Love Bug and That Darn Cat)
1,25,1945,1/25/1945,Leigh Taylor Young, in Washington DC
1,26,1715,1/26/1715,Claude Helvetius, French philosopher
1,26,1763,1/26/1763,Charles XIV, French marshall and king of Sweden & Norway (1818-44)
1,26,1826,1/26/1826,Julia Dent Grant, 1st lady
1,26,1831,1/26/1831,Writer Mary Dodge, ('Hans Brinker & the Silver Skates'
1,26,1880,1/26/1880,Gen Douglas MacArthur, he did return!
1,26,1904,1/26/1904,Sean MacBride, Irish statesman and minister (Nobel Peace Prize 1974)
1,26,1913,1/26/1913,Jimmy Van Heusen, songwriter
1,26,1918,1/26/1918,Nicolae Ceausescu, Rumanian president
